Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 269 Step 457: Training Loss 0.4040704071521759, Return 411.0
Episode 270 Step 489: Training Loss 0.3721654713153839, Return 500.0
Episode 271 Step 426: Training Loss 0.38195279240608215, Return 440.0
Episode 272 Step 473: Training Loss 0.38134923577308655, Return 486.0
Episode 273 Step 435: Training Loss 0.36866703629493713, Return 448.0
Episode 274 Step 468: Training Loss 0.3581123650074005, Return 496.0
Episode 275 Step 456: Training Loss 0.3436896800994873, Return 446.0
Episode 276 Step 436: Training Loss 0.3807099461555481, Return 408.0
Episode 277 Step 467: Training Loss 0.41101083159446716, Return 500.0
Episode 278 Step 500: Training Loss 0.26813459396362305, Return 500.0
Episode 279 Step 449: Training Loss 0.2784038484096527, Return 470.0
Episode 280 Step 450: Training Loss 0.3161807060241699, Return 500.0
Episode 281 Step 461: Training Loss 0.3131563067436218, Return 493.0
Episode 282 Step 500: Training Loss 0.27836278080940247, Return 496.0
Episode 283 Step 500: Training Loss 0.21879245340824127, Return 500.0
Episode 284 Step 500: Training Loss 0.304380863904953, Return 500.0
Episode 285 Step 500: Training Loss 0.2734687924385071, Return 480.0
Episode 286 Step 497: Training Loss 0.33547985553741455, Return 500.0
Episode 287 Step 463: Training Loss 0.34495803713798523, Return 500.0
Episode 288 Step 500: Training Loss 0.319811075925827, Return 500.0
Episode 289 Step 459: Training Loss 0.30376407504081726, Return 456.0
Episode 290 Step 470: Training Loss 0.3380874693393707, Return 477.0
Episode 291 Step 500: Training Loss 0.34186887741088867, Return 500.0
Episode 292 Step 500: Training Loss 0.33826905488967896, Return 500.0
Episode 293 Step 500: Training Loss 0.4134989082813263, Return 500.0
Episode 294 Step 465: Training Loss 0.35580548644065857, Return 500.0
Episode 295 Step 487: Training Loss 0.38996660709381104, Return 500.0
Episode 296 Step 500: Training Loss 0.35482004284858704, Return 454.0
Episode 297 Step 500: Training Loss 0.5349091291427612, Return 487.0
Episode 298 Step 500: Training Loss 0.44303563237190247, Return 478.0
Episode 299 Step 500: Training Loss 0.418827623128891, Return 500.0
Episode 300 Step 500: Training Loss 0.37606361508369446, Return 500.0
Episode 301 Step 500: Training Loss 0.552562415599823, Return 500.0
Episode 302 Step 500: Training Loss 0.49868887662887573, Return 500.0
Episode 303 Step 476: Training Loss 0.5701720714569092, Return 500.0
Episode 304 Step 500: Training Loss 0.6240320801734924, Return 469.0
Episode 305 Step 500: Training Loss 0.5427618622779846, Return 500.0
Episode 306 Step 500: Training Loss 0.6213513016700745, Return 500.0
Episode 307 Step 500: Training Loss 0.741286039352417, Return 500.0
Episode 308 Step 500: Training Loss 0.7530268430709839, Return 500.0
Episode 309 Step 500: Training Loss 0.7643049359321594, Return 500.0
Episode 310 Step 500: Training Loss 0.6547750234603882, Return 500.0
Episode 311 Step 500: Training Loss 0.8194915652275085, Return 433.0
Episode 312 Step 500: Training Loss 0.7555509805679321, Return 500.0
Episode 313 Step 474: Training Loss 0.807765543460846, Return 500.0
Episode 314 Step 500: Training Loss 0.7971211075782776, Return 500.0
Episode 315 Step 500: Training Loss 1.0717746019363403, Return 500.0
Episode 316 Step 487: Training Loss 0.9211852550506592, Return 500.0
Episode 317 Step 500: Training Loss 0.8389812111854553, Return 442.0
Episode 318 Step 500: Training Loss 1.2762467861175537, Return 500.0
Episode 319 Step 500: Training Loss 1.2712763547897339, Return 500.0
Episode 320 Step 500: Training Loss 1.0532382726669312, Return 493.0
Episode 321 Step 500: Training Loss 1.2191932201385498, Return 500.0
Episode 322 Step 500: Training Loss 1.333686113357544, Return 457.0
Episode 323 Step 499: Training Loss 1.4707667827606201, Return 500.0
Episode 324 Step 500: Training Loss 1.5009671449661255, Return 500.0
Episode 325 Step 500: Training Loss 1.3330494165420532, Return 500.0
Episode 326 Step 500: Training Loss 1.2114964723587036, Return 500.0
Episode 327 Step 500: Training Loss 1.2550368309020996, Return 475.0
Episode 328 Step 500: Training Loss 1.3098405599594116, Return 452.0
Episode 329 Step 500: Training Loss 1.5395818948745728, Return 500.0
Episode 330 Step 500: Training Loss 1.4254865646362305, Return 500.0
Episode 331 Step 500: Training Loss 1.6627380847930908, Return 500.0
Episode 332 Step 500: Training Loss 1.777258038520813, Return 500.0
Episode 333 Step 500: Training Loss 1.893930435180664, Return 459.0
Episode 334 Step 500: Training Loss 1.9238405227661133, Return 500.0
Episode 335 Step 500: Training Loss 1.7685458660125732, Return 500.0
Episode 336 Step 500: Training Loss 2.194675922393799, Return 500.0
Episode 337 Step 500: Training Loss 2.0754616260528564, Return 500.0
Episode 338 Step 500: Training Loss 2.0087954998016357, Return 500.0
Episode 339 Step 500: Training Loss 1.842159390449524, Return 500.0
Episode 340 Step 500: Training Loss 2.0647571086883545, Return 500.0
Episode 341 Step 500: Training Loss 2.042687177658081, Return 500.0
Episode 342 Step 500: Training Loss 1.9364148378372192, Return 500.0
Episode 343 Step 500: Training Loss 2.286957025527954, Return 500.0
Episode 344 Step 500: Training Loss 2.4086194038391113, Return 500.0
Episode 345 Step 500: Training Loss 2.207380771636963, Return 500.0
Episode 346 Step 500: Training Loss 2.315263032913208, Return 500.0
Episode 347 Step 500: Training Loss 2.647876262664795, Return 500.0
Episode 348 Step 500: Training Loss 2.80757474899292, Return 500.0
Episode 349 Step 500: Training Loss 2.551116943359375, Return 500.0
Episode 350 Step 500: Training Loss 2.2807323932647705, Return 500.0
Episode 351 Step 500: Training Loss 2.531597375869751, Return 194.0
Episode 352 Step 500: Training Loss 2.9660427570343018, Return 470.0
Episode 353 Step 500: Training Loss 2.9544596672058105, Return 253.0
Episode 354 Step 500: Training Loss 2.950878858566284, Return 500.0
Episode 355 Step 500: Training Loss 2.7884697914123535, Return 285.0
Episode 356 Step 500: Training Loss 2.450819969177246, Return 500.0
Episode 357 Step 500: Training Loss 2.8036305904388428, Return 440.0
Episode 358 Step 500: Training Loss 2.6307480335235596, Return 500.0
Episode 359 Step 500: Training Loss 3.285231590270996, Return 466.0
Episode 360 Step 500: Training Loss 2.3644723892211914, Return 500.0
Episode 361 Step 500: Training Loss 3.086646795272827, Return 500.0
Episode 362 Step 500: Training Loss 3.061978578567505, Return 500.0
Episode 363 Step 500: Training Loss 2.8935487270355225, Return 500.0
Episode 364 Step 500: Training Loss 2.9177510738372803, Return 500.0
Episode 365 Step 500: Training Loss 2.955761194229126, Return 115.0
Episode 366 Step 500: Training Loss 2.995897054672241, Return 500.0
Episode 367 Step 500: Training Loss 3.3418140411376953, Return 500.0
